Title,Category,Medium,Dimensions,Year,Status,Image,Alt Text,Featured,Additional Images,Discount,Discount %,Description
Chorus of Wings at Dusk,Landscape,Acrylic on canvas,15x16 inches,,Available,birds-flying.jpg,Painting of birds flying,FALSE,,FALSE,,"I painted this feeling hopeful about new beginnings. Birds flying together at dusk always look like they are singing without sound, moving as one toward wherever home is."
Tunnel of Frozen Light,Landscape,Acrylic on canvas,15x15 inches,,Available,aurora-cave.jpg,Painting of the aurora seen from inside a cave,FALSE,,FALSE,,"I imagined standing inside cold stone, looking out at colors dancing in the sky. It felt like even in the coldest, darkest places, there is still light waiting to be noticed."
Standing in Wonder,Landscape,Acrylic on canvas,20x22 inches,,SOLD,northern-lights-by-the-stream.jpg,Painting of a figure standing by a glowing green stream under the northern lights,FALSE,,FALSE,,"This is about the feeling of being small next to something huge and beautiful. I wanted to paint the pause we all have when nature reminds us how little we truly know."
Beneath a Foreign Sky,Landscape,Acrylic on canvas,15x19 inches,,SOLD,alien-world-sky.jpg,Abstract painting of an otherworldly sky,TRUE,,FALSE,,"I painted this during a time I felt out of place, like I did not belong where I was. Imagining an unfamiliar sky helped me feel less alone in that strange feeling."

Stillness Beyond the Glass,Botanical,Acrylic on canvas,15x15 inches,,Available,green-sancturay-indoors.jpg,Painting of an indoor green plant sanctuary,FALSE,,FALSE,,"This is inspired by my own little corner of plants at home. On busy days, that small green space behind the window feels like the only calm place left."
Petals Touched with Gold,Botanical,Acrylic on canvas,18x21 inches,,Available,white-and-gold-tulips.jpg,Painting of two white and gold tulips with dark leaves,FALSE,,FALSE,,"I wanted these tulips to feel like something ordinary made a little precious. Sometimes just a touch of gold light can make plain white petals feel like they are worth more."
Gathered from Wildness,Botanical,Acrylic on canvas,15x15 inches,,SOLD,floral-vase.jpeg,Painting of a floral vase,TRUE,,FALSE,,"This painting is about taking something wild and giving it a home. I was feeling a need for order that day, so gathering loose flowers into one vase felt calming."
Tears of Devotion,Botanical,Acrylic on canvas,15x15 inches,,SOLD,pink-rose.jpeg,Painting of a pink rose,FALSE,,FALSE,,"I painted this rose thinking of quiet love, the kind shown through small care rather than loud words. The softness of pink felt like devotion that does not need to be seen to be real."
Bloom Against the Grain,Botanical,Acrylic on canvas,18x21 inches,,Available,single-red-rose.jpg,Painting of a single red rose against a grey textured background,FALSE,,FALSE,,"This is about standing out even when everything around you feels dull. I was feeling different from everyone else that week, so I painted the one rose that still chose to bloom anyway."
Mirrored Solitude,Botanical,Acrylic on canvas,15x15 inches,,SOLD,flower-reflection.jpg,Painting of a flower and its reflection,FALSE,,FALSE,,"I painted this flower alone beside its own reflection, thinking about the quiet company we keep with ourselves. Being alone does not always mean feeling lonely."
Reaching for More,Botanical,Acrylic on canvas,15x15 inches,,Available,reaching-for-more.jpg,Painting of a flower vines spreading on a brick wall,FALSE,,TRUE,50,"This flower is about striving for something beyond what is immediately around you. I was feeling a need to reach for more in my own life, and painting this flower helped me express that desire."
Three Red Tulips, Botanical, Acrylic on canvas, 15x15 inches,, Available, three-red-tulips.jpg, Painting of three red tulips, FALSE,,TRUE,50, "I painted these three tulips thinking about the beauty of simplicity. Sometimes the most ordinary things can hold the most extraordinary beauty when we take the time to notice them."
Bloom in the Downpour,Botanical,Acrylic on Ceramic,12x12 inches,,Available,flowers-close-up.jpg,Close-up painting of flowers,FALSE,,FALSE,,"This came from watching flowers stay open even during heavy rain. It made me think about staying soft and open, even when life feels like it is pouring down on you."
Whispers in the Meadow,Botanical,Acrylic on canvas,12x15 inches,,SOLD,small-flowers.jpg,Painting of small colorfull flowers with a light shade of blue as background,FALSE,,FALSE,,"I painted these small flowers thinking about quiet joys that do not ask for attention. Not every beautiful thing needs to be loud to be noticed."
Sufficient Is My Trust,Botanical,Acrylic on canvas,12x15 inches,,SOLD,roses-and-a-prayer.jpg,Painting of pink and white roses with an Arabic prayer phrase written across the stems,FALSE,,FALSE,,"This painting holds a prayer I say often when I feel worried. Writing it across the roses felt like placing my trust somewhere safe, wrapped gently inside something beautiful."
She Wears the Garden,Botanical,Acrylic on canvas,15x15 inches,,Available,floral-shadow.jpeg,Painting Woman's shadow with floral elements,FALSE,,TRUE,50,"I imagined a woman carrying her garden with her wherever she goes, like flowers are part of who she is. This is about beauty that comes from the inside, not just what is seen."
Eye of Vanity,Abstract,Acrylic on canvas,15x15 inches,,Available,peacock-feather.jpeg,Abstract painting of a peacock feather,FALSE,,TRUE,50,"This feather made me think about pride, and how easily it can turn into something we hide behind. I painted it feeling a little guilty about my own vanity, and a little forgiving of it too."
Season's Last Ember,Botanical,Acrylic on canvas,15x12 inches,,SOLD,autumn-leaves-on-the-branch.jpg,Painting of golden autumn leaves hanging from a branch above a row of trees,FALSE,,FALSE,,"I painted this feeling the sadness that comes with endings. Autumn leaves always look like they are burning gently before letting go, a soft way to say goodbye to something."
Grace in Surrender,Botanical,Acrylic on canvas,15x17 inches,,SOLD,pink-flower-upside-down.jpeg,Painting of a pink tulip,FALSE,,FALSE,,"This tulip is painted the wrong way up on purpose. I was feeling like I had lost control of something in my life, and I wanted to show that even upside down, something can still look graceful."
Color Finds a Way,Botanical,Acrylic on canvas,15x17 inches,,SOLD,red-rose-colorless-bg.jpeg,Painting of a red rose,FALSE,,FALSE,,"I stripped away the background on purpose to see if the rose could still hold its own beauty. It reminded me that real color and warmth can shine through even in empty, colorless spaces."

Rider of the Storm,Abstract,Acrylic on canvas,17x24 inches,,Available,dark-ryder.jpg,"Painting with a dark, mysterious rider theme",FALSE,,FALSE,,"This painting came from a restless night full of strange dreams. The rider felt like every fear I could not name, riding straight into the storm instead of running from it."
Perched Between Dusk and Home,Landscape,Acrylic on canvas,18x24 inches,,Available,warm-sky-siolettle-branches.jpg,Painting of a warm-toned sky behind silhouetted branches,FALSE,,FALSE,,"I painted this at the exact moment day turns into evening, that soft in-between time. It reminded me of standing between two places, not quite arrived yet, but almost home."
Blessings Bloom Wild,Abstract,Acrylic on canvas,19x17 inches,,Available,japanses-abstract.jpg,Abstract painting with a Japanese-inspired theme,FALSE,,FALSE,,"This was inspired by Japanese art I admire, where simple shapes hold deep meaning. I wanted the colors to feel like blessings growing freely, without needing to be perfectly controlled."
Flames Reaching Skyward,Still Life,Acrylic on canvas,15x17 inches,,SOLD,bon-fire.jpeg,Painting of a bon fire,TRUE,,FALSE,,"I painted this after sitting by a fire with people I love, watching the flames climb higher than we expected. It felt like warmth and hope reaching upward together."
"Fleeting Spark, Rising Smoke",Still Life,Acrylic on canvas,15x15 inches,,SOLD,match-stick-on-fire.jpeg,Painting of a match stick on fire,TRUE,,FALSE,,"This small flame is about how quickly moments can pass. I was feeling nostalgic, thinking about how one small spark can matter so much before it disappears into smoke."
Bottled Light,Still Life,Acrylic on canvas,15x11 inches,,SOLD,colored-glass-bottles.jpg,Painting of a row of colorful glass bottles catching the light,FALSE,,FALSE,,"I painted these bottles feeling drawn to how ordinary glass can hold and bend light into something magical. Sometimes beauty is just about catching light the right way."
Emerald Breath After Rain,Botanical,Acrylic on canvas,17x21 inches,,Available,raindrops-on-leaves.jpg,Close-up painting of glistening raindrops on blue and green leaves,FALSE,,FALSE,,"This is inspired by the freshness right after rain stops falling. Every raindrop on the leaves felt like a small breath of relief, like the whole garden could finally breathe again."
"One Root, Two Skies",Landscape,Acrylic on canvas,15x8 inches,,Available,day-and-night-tree.jpg,Painting of a single tree split between a night sky with the moon and a daytime sky with the sun,FALSE,,TRUE,50,"I painted this thinking about how one person can hold two very different feelings at once. The tree stands with one root, but reaches toward both a bright day and a quiet night."
Roots That Reach for Fire,Still Life,Acrylic on canvas,15x15 inches,,SOLD,tree-of-light.jpg,Abstract painting of a glowing flame-like tree against an orange sky,FALSE,,FALSE,,"This tree is about passion that refuses to stay small. I was feeling a strong pull toward something I love, and painting roots reaching upward like fire felt like the right way to show it."
Bloom in Monochrome,Botanical,Acrylic on canvas,12x30 inches each,,Available,blue-anemones-diptych.jpg,Two-panel painting of blue anemone flowers against a black and white background,FALSE,,TRUE,50,"I wanted these flowers to feel calm and balanced, so I kept the background simple in black and white. Sometimes the quietest colors let the real beauty stand out more clearly."
"Small World, Vast Journey",Botanical,Acrylic on canvas,15x12 inches,,SOLD,ant-on-a-leaf.jpg,Close-up painting of an ant walking across a torn green leaf,FALSE,,FALSE,,"Watching a tiny ant cross a torn leaf reminded me that even small creatures carry out enormous journeys. It made me feel less overwhelmed by my own struggles."
"Small Pieces, Long Shadows",Still Life,Acrylic on canvas,15x15 inches,,Available,chess-pawns-and-shadow.jpg,Painting of golden chess pawns casting long dramatic shadows,FALSE,,FALSE,,"This painting is about how even the smallest pieces on the board can carry a heavy weight. I was feeling like a small part of something bigger, and the long shadows helped show that feeling."
Steel Bones Over Still Water,Landscape,Acrylic on canvas,20x20 inches,,SOLD,bridge-over-the-river.jpg,Black and white painting of a steel truss bridge reflected in the river below,FALSE,,FALSE,,"I painted this bridge feeling steady, like something strong holding two sides together. The still water below made the whole scene feel calm despite all that heavy steel above it."
Ember at Day's Edge,Landscape,Acrylic on canvas,20x10 inches,,SOLD,sunset-over-the-hills.jpg,Painting of a lone tree silhouetted against a glowing sunset over green hills,FALSE,,FALSE,,"This lone tree at sunset is about standing alone gracefully. I was feeling a bit solitary that evening, and the warm glowing sky made that solitude feel peaceful instead of sad."
Autumn Through Tears,Landscape,Acrylic on canvas,15x15 inches,,Available,rain-on-the-window.jpg,Painting of an autumn farm gate and trees seen through a rain-speckled window,FALSE,,TRUE,50,"I painted this looking out a rainy window, feeling a little sad without knowing exactly why. The blurred autumn scene felt like looking at memories through tears."
Freedom Within Reach,Botanical,Acrylic on canvas,15x19 inches,,SOLD,bird-in-the-garden-cage.jpg,Painting of a small bird perched inside an ornate cage surrounded by greenery,FALSE,,FALSE,,"This bird is close to freedom but still caged, and I painted it during a time I felt trapped by my own doubts. The greenery around the cage reminded me that freedom is always close."
Silent Watch at Dusk,Abstract,Acrylic on canvas,15x15 inches,,Available,abstract-pigion.jpg,Abstract painting of a pigeon,FALSE,,FALSE,,"I painted this pigeon feeling quiet and thoughtful, like it was watching the day end without needing to say anything. Some feelings are better kept silent and still."
House of Blue Silence,Landscape,Acrylic on canvas,Size TBD,,Available,blueish-home.jpg,Painting of a home in blueish tones,FALSE,,TRUE,50,"This home in blue tones came from a memory of a quiet house I once lived in. I wanted it to feel calm, maybe a little lonely, but safe in its own silence."
Grace Against the Drought,Botanical,Acrylic on canvas,15x15 inches,,Available,flower-in-dry-soil.jpg,Painting of a flower growing in dry soil,FALSE,,FALSE,,"This flower growing in dry, cracked soil is about resilience. I was going through a hard, dry season in my own life, and painting something still blooming there gave me hope."
Footprints Toward Solitude,Landscape,Acrylic on canvas,15x15 inches,,Available,snowy-path-to-the-lone-tree.jpg,Painting of footprints in the snow leading to a lone bare tree,FALSE,,FALSE,,"I painted this thinking about choosing to walk alone sometimes, not out of sadness but out of need. The footprints in the snow show a path chosen quietly and on purpose."
Roots Under a Golden Eye,Landscape,Acrylic on canvas,15x15 inches,,Available,moon-and-tree.jpg,Painting of the moon behind a tree,FALSE,,FALSE,,"This tree standing under the moon felt like it was being watched over gently. I was feeling cared for that night, like something bigger was quietly looking after me."
Whispers in the Reeds,Landscape,Acrylic on canvas,15x12 inches,,SOLD,moon-grass-seolette.jpg,Painting of the moon grass Silhouette,FALSE,,FALSE,,"I painted this feeling the quiet sound of wind moving through tall grass at night. It felt like the grass was whispering secrets only the moon could hear."
Bent but Unbroken,Landscape,Acrylic on canvas,Size TBD,,SOLD,moon-dry-tree-branches-seolette.jpg,Painting of the moon behind the silhouette of dry tree branches,FALSE,,FALSE,,"These dry branches are bent but still standing, and that felt personal to me. I was going through a difficult time and painting something worn but unbroken helped me feel stronger."
Village Dreaming Beneath Chaos,Landscape,Acrylic on canvas,Size TBD,,Available,starry-night.jpg,Painting of a starry night sky,FALSE,,FALSE,,"I painted this feeling both peaceful and a little overwhelmed. The quiet village beneath a swirling sky felt like how calm and chaos can exist together in the same moment."
"Two Flames, One Dark",Still Life,Acrylic on canvas,11x13 inches,,Available,two-candles.jpg,Still life painting of two candles,FALSE,,TRUE,50,"These two candles are about companionship in hard times. I was feeling low that day, and painting two small lights standing together in the dark felt comforting."
"Caravan Under Amber Moon, Giza",Landscape,Acrylic on canvas,20x20 inches,,SOLD,giza.jpeg,Painting of the pyramids of Giza,FALSE,,FALSE,,"This is inspired by old stories of travelers crossing the desert under moonlight. I wanted the pyramids to feel timeless, like they have watched countless journeys pass beneath the same amber moon."
"Small Flame, Vast Warmth",Still Life,Acrylic on canvas,20x20 inches,,SOLD,kerosene-lamp.jpeg,Painting of a kerosene lamp,FALSE,,FALSE,,"I painted this lamp thinking about my grandmother's house, where a small flame like this once lit up an entire room. Even a tiny light can carry a lot of warmth and memory."
Shattered Toast,Abstract,Acrylic on canvas,15x17 inches,,SOLD,broken-glass.jpeg,Abstract painting of broken glass,FALSE,,FALSE,,"This painting came from a night that did not go as planned, a celebration that broke apart. I wanted to show that even broken pieces can catch light and still look beautiful."
Keeper of Quiet Hours,Abstract,Acrylic on canvas,12x17 inches,,Available,lamp.jpeg,Abstract painting of a lamp,FALSE,,TRUE,50,"I painted this lamp during many quiet late nights of thinking and working alone. It felt like a small companion, staying lit through hours no one else was awake to see."
Sparks Beneath the Stars,Landscape,Acrylic on canvas,11x15 inches,,Available,night-town.jpeg,Abstract painting of night town lights,FALSE,,FALSE,,"This town at night is about small human lights holding their own against a huge sky. I was feeling proud of ordinary life, how bright a home window can look from far away."
"Marble Vow of Love, Taj Mahal",Landscape,Water Color on Paper,20x25 inches,,SOLD,taj-mahal.jpeg,Abstract painting of the Taj Mahal,FALSE,,FALSE,,"This is inspired by the story of the Taj Mahal, built entirely out of love and loss. I wanted to paint not just the marble, but the promise that shaped it."
Valley of Quiet Mornings,Landscape,Acrylic on canvas,16x22 inches,,SOLD,alpine-farm.jpeg,Painting of an alpine farm,FALSE,,FALSE,,"I painted this remembering mornings in the mountains, where everything feels slow and gentle before the day begins. It is one of the few times I feel completely at peace."
Cabin Beneath the Green Fire,Landscape,Acrylic on canvas,16x22 inches,,SOLD,aurora-hut.jpeg,Painting of an aurora and a hut midst of a forest,FALSE,,FALSE,,"This small cabin under the aurora felt like a safe place inside something much bigger and wilder. I was feeling small but protected, like nature was quietly watching over that little home."
Desert's Burning Hour,Landscape,Acrylic on canvas,15x19 inches,,SOLD,cactus-silholette.jpeg,Painting of a cacuts silhouette,FALSE,,FALSE,,"I painted this cactus standing strong in the heat of the desert, feeling admiration for anything that survives such harsh conditions and still holds its shape with quiet strength."
Hush Before Dawn,Landscape,Acrylic on canvas,15x15 inches,,SOLD,cresent-moon.jpeg,Painting of a crescent moon,TRUE,,FALSE,,"This crescent moon came from a night I could not sleep, watching the sky slowly getting ready for morning. There is a certain hush right before dawn that feels sacred."
Tide of Quiet Endings,Landscape,Acrylic on canvas,15x19 inches,,SOLD,sunset-beach.jpeg,Painting of a sunset and beach,TRUE,,FALSE,,"I painted this feeling reflective, thinking about how every day ends gently at the shore. The tide coming in and out reminded me that endings can be soft, not always sudden."
Thorns Under a Sliver,Landscape,Acrylic on canvas,15x15 inches,,SOLD,cresent-moon-pink-sky.jpeg,Painting of a crescent moon and stars,FALSE,,FALSE,,"This painting holds both softness and sharpness together, a pink sky above something a little thorny below. I was feeling two emotions at once, and this felt like the right way to show both."
Harvest's Sweet Abundance, Still Life,Acrylic on canvas,15x15 inches,,SOLD,cup-of-strawberry.jpeg,Painting of a cup of strawberries,FALSE,,TRUE,50,"I painted this after a simple afternoon of picking strawberries. It felt like a small, sweet reminder that good things can come easily when we take time to gather them."
Where Silence Walks,Landscape,Acrylic on canvas,15x15 inches,,SOLD,lonely-sunset.jpeg,Painting of a lonely sunset,FALSE,,FALSE,,"This sunset felt like walking through silence itself. I was feeling alone that evening, but painting it helped me see that even loneliness can hold its own quiet beauty."


Glimpse of the Sacred,Religious,Acrylic on canvas,15x17 inches,,SOLD,al-aqsa-bushes.jpeg,Painting of Al-Aqsa and bushes,FALSE,,FALSE,,"I painted this from a longing to see Al-Aqsa with my own eyes one day. Even a glimpse through the bushes felt sacred and worth capturing with care."
Moonlit Devotion,Religious,Acrylic on canvas,12x17 inches,,SOLD,madina-night.jpeg,Painting of Madina at night,FALSE,,FALSE,,"This is inspired by the deep peace people describe feeling in Madina at night. I wanted to paint that quiet devotion that seems to glow softly under the moon."
A Promise Fulfilled,Religious,Acrylic on canvas,12x17 inches,,SOLD,madina-verse.jpeg,Painting of Madina and a Verse,FALSE,,FALSE,,"I painted this thinking about promises kept over long journeys of faith. The verse beside Madina felt like words finally finding the place they were always meant to reach."
Unbowed Beneath Smoke,Statement,Acrylic on canvas,Size TBD,,Available,flags-of-palestine.jpg,Painting of Palestinian flags raised above a silhouetted crowd against a dramatic sky,FALSE,,FALSE,,"I painted this with a heavy heart, thinking about strength that does not bend even under great pain. The flags standing tall through smoke felt like hope refusing to give up."
Wound That Will Not Heal,Statement,Acrylic on canvas,Size TBD,,Available,palestine-in-red.jpg,Textured painting of the map of Palestine in red with the Palestinian flag in the corner,FALSE,,FALSE,,"This painting carries a lot of pain I feel when I think about Palestine. The red is not just color here, it is grief that has not been allowed to heal."
"Light Between Two Worlds, Madina",Religious,Acrylic on canvas,Size TBD,,SOLD,masjid-nabawi-sunset.jpg,Painting of the green dome of Masjid an-Nabawi at sunset with minarets and lamp posts,FALSE,,FALSE,,"I painted this feeling the calm that comes at the edge of day near sacred places. The green dome at sunset felt like a gentle meeting point between this world and something greater."
Fire Over the Holy City,Religious,Acrylic on canvas,Size TBD,,Available,al-aqsa-sunset.jpg,Painting of the Dome of the Rock at Al-Aqsa under an orange and blue sunset sky,FALSE,,FALSE,,"This sunset over Al-Aqsa felt powerful and emotional to paint. The warm colors in the sky felt like passion and prayer rising together over a city so many hold close to their hearts."
Reaching Toward Grace,Religious,Acrylic on canvas,Size TBD,,Available,hands-raised-at-the-kaaba.jpg,Painting of hands raised in prayer before the Kaaba with the clock tower behind it,FALSE,,FALSE,,"I painted these raised hands thinking about hope and surrender. There is something deeply moving about reaching toward something greater than yourself and simply asking for grace."
Shelter Under a Crimson Sky,Religious,Acrylic on canvas,Size TBD,,Available,mosque-umbrella-abstract.jpg,Abstract painting of a mosque with an umbrella motif,FALSE,,TRUE,50,"This painting is about protection during hard weather, both real and emotional. I wanted the mosque and the umbrella together to feel like shelter that holds steady under a heavy sky."
House of Surrender,Religious,Acrylic on canvas,Size TBD,,Available,kaaba.jpg,Painting of the Kaaba,FALSE,,FALSE,,"I painted the Kaaba thinking about letting go of pride and simply surrendering. It felt important to paint it plainly, since its meaning needs no extra decoration to feel powerful."
"Dawn Over the Sacred Dome, Madina",Religious,Water Color on Paper,Size TBD,,Available,madina.jpg,Painting of Madina,FALSE,,FALSE,,"This is inspired by the peaceful image of dawn breaking gently over Madina. I wanted to capture that soft first light that feels like a quiet blessing at the start of a new day."
Whispers in Gold,Religious,Acrylic on canvas,Size TBD,,Available,allahu-akbar-calligraphy.jpg,Mixed-media painting of gold Arabic calligraphy reading Allahu Akbar with a crystal-embellished panel,FALSE,,FALSE,,"I painted this calligraphy feeling that some words deserve to shine. Allahu Akbar in gold felt less like decoration and more like a quiet whisper of faith made visible."
"What Remains, What Rises",Religious,Acrylic on canvas,Size TBD,,SOLD,al-aqsa.jpg,Painting of Al-Aqsa,FALSE,,FALSE,,"This painting holds both grief and hope together. I was feeling heavy thinking about all that has been lost, but also hopeful about what still stands and what will rise again."
